Va_rms_pre,Va_rms_flt,Vb_rms_flt,Vc_rms_flt,Va_sag,Vb_sag,Vc_sag,Ia_rms_flt,Ib_rms_flt,Ic_rms_flt,Ia_peak,Ib_peak,Ic_peak,I_max_peak,Va_H2,Va_H3,Va_H5,Ia_H2,Ia_H3,Ib_H2,Ib_H3,Va_thd,Ia_thd,V0_ratio,V2_ratio,V_imbalance,I_imbalance,Ib_Ia_ratio,Ic_Ia_ratio,fault_bus,fault_type,label,Rf_pu
1.03329,0.05158,0.05126,0.0521,0.95008,0.95036,0.94957,0.79168,0.79167,0.79204,1.12525,1.13091,1.1283,1.13091,0.00909,0.00199,0.00497,0.0004,0.00053,0.00059,0.00062,0.02113,0.00157,0.0,0.0,0.00879,0.00031,0.99998,1.00045,2,Three_Phase,1,0.004833
1.03295,0.05154,0.05184,0.05225,0.9501,0.9498,0.94941,0.79183,0.79106,0.79174,1.11972,1.12517,1.12886,1.12886,0.00211,0.00894,0.00332,0.00095,0.00102,0.0005,0.00067,0.02147,0.00199,0.0,0.0,0.00723,0.00061,0.99902,0.99989,2,Three_Phase,1,0.005456
1.03293,0.05189,0.05188,0.05179,0.94976,0.94979,0.94988,0.79169,0.79132,0.791,1.12176,1.12427,1.12909,1.12909,0.00586,0.00634,0.00952,0.00059,0.00014,0.00067,0.00047,0.02026,0.00142,0.0,0.0,0.00121,0.00044,0.99954,0.99913,2,Three_Phase,1,0.006158
1.03296,0.05194,0.05183,0.05155,0.94971,0.94982,0.95008,0.79172,0.79107,0.7914,1.1297,1.1295,1.12232,1.1297,0.0009,0.00406,0.00307,0.00028,0.00072,0.00078,0.00061,0.02674,0.00126,0.0,0.0,0.00435,0.00042,0.99918,0.99961,2,Three_Phase,1,0.006952
1.03246,0.0522,0.05117,0.05186,0.94944,0.95042,0.94978,0.79176,0.79154,0.7913,1.12781,1.12758,1.12489,1.12781,0.01149,0.00223,0.00985,0.00061,0.00064,0.00015,9e-05,0.01886,0.0017,0.0,0.0,0.01102,0.0003,0.99972,0.99941,2,Three_Phase,1,0.007848
1.03298,0.05199,0.05197,0.05121,0.94967,0.94969,0.95042,0.79162,0.79179,0.79163,1.12344,1.1378,1.12736,1.1378,0.01256,0.00777,0.0049,0.00045,0.00082,0.00098,0.00048,0.02881,0.00171,0.0,0.0,0.01002,0.00014,1.00021,1.0,2,Three_Phase,1,0.008859
1.033,0.05254,0.05195,0.05204,0.94914,0.94971,0.94962,0.79162,0.7916,0.79117,1.1267,1.12936,1.12667,1.12936,0.00361,0.00948,0.00502,0.0002,0.00048,0.00035,0.00033,0.02727,0.0019,0.0,0.0,0.00688,0.00037,0.99998,0.99944,2,Three_Phase,1,0.01
1.03308,0.05193,0.05182,0.05157,0.94974,0.94981,0.95006,0.79197,0.79143,0.79163,1.12322,1.12968,1.12443,1.12968,0.00185,0.00324,0.00393,7e-05,0.00015,0.00046,0.00042,0.01933,0.00173,0.0,0.0,0.00387,0.00037,0.99931,0.99957,2,Three_Phase,1,0.011288
1.03343,0.05181,0.05197,0.05206,0.94987,0.94971,0.94959,0.79136,0.79167,0.79145,1.12577,1.12544,1.12518,1.12577,0.0026,0.01229,0.0046,0.00083,0.00061,0.00029,0.00068,0.0242,0.00186,0.0,0.0,0.00268,0.00023,1.0004,1.00012,2,Three_Phase,1,0.012743
1.03313,0.05168,0.05206,0.0517,0.94998,0.94961,0.94993,0.79201,0.79117,0.79172,1.12736,1.12541,1.13045,1.13045,0.00787,0.00465,0.00383,0.001,0.00061,0.00057,0.00014,0.02397,0.00219,0.0,0.0,0.00469,0.00059,0.99893,0.99964,2,Three_Phase,1,0.014384
